name,cell_length_a,cell_length_b,cell_length_c,cell_angle_alpha,cell_angle_beta,cell_angle_gamma,lcd,pld,void_fraction,surface_area_m2g,surface_area_m2cm3,number_H,number_C,number_N,number_O,number_F,number_Cl,number_V,number_Cu,number_Zn,number_Br,number_Zr,adsorption
hMOF-5067252,14.519731,10.540535,12.99646,89.992517,89.994327,84.106248,4.25,3.25,0.433407,810.8,761.3,24,44,4,16,0,0,0,4,0,0,0,0.692461
hMOF-2568,19.805407,19.805405,12.759393,89.962167,89.980254,90.023727,6.75,4.25,0.619958,2382.2,2228.0,20,84,0,26,0,24,0,0,8,0,0,3.35226
hMOF-4303,12.759401,12.759399,21.395355,90.01269,90.021398,90.016023,9.75,8.75,0.723073,2959.0,2086.2,72,78,0,13,0,0,0,0,4,0,0,2.8749
hMOF-5073436,15.944545,15.944493,14.47231,90.004804,89.989758,83.485608,11.25,10.25,0.732895,4425.9,2379.8,24,38,32,8,0,0,0,2,0,0,0,0.564973
hMOF-5055209,23.532355,22.610064,23.532407,89.996958,82.838087,90.009453,9.25,5.75,0.735589,3073.7,2238.1,108,240,24,108,0,0,0,0,6,0,0,2.36311
hMOF-5012787,16.959455,18.101395,16.959447,89.97045,89.983056,90.028051,7.25,4.25,0.656926,2602.7,2072.5,76,100,20,26,0,0,0,0,8,0,0,3.12643
hMOF-3001437,33.592126,33.591377,33.588093,60.004089,60.008299,59.994549,23.75,22.25,0.903059,5793.9,1222.4,186,143,8,55,0,0,0,8,0,0,0,0.554423
hMOF-5032011,16.959455,29.839131,16.959447,90.041568,90.014322,90.032176,15.75,14.25,0.899246,4806.6,1587.1,32,74,2,31,0,0,0,0,4,0,0,0.980562
hMOF-5075664,17.000371,15.500227,17.019234,91.050924,79.501818,92.619542,15.25,13.75,0.843218,3297.9,1831.2,22,44,2,8,0,0,0,2,0,8,0,0.423475
hMOF-5037629,13.596369,12.837943,12.78489,83.967749,89.999966,89.994445,12.25,11.25,0.82649,2737.9,1947.7,8,28,2,8,0,0,0,0,2,4,0,0.636492
hMOF-6000776,6.8179,14.858329,14.858572,94.733148,104.524003,104.519616,11.75,11.25,0.78519,4537.0,2454.8,0,16,0,10,0,0,2,0,0,0,0,0.306688
hMOF-5037490,14.519709,14.519709,13.596369,90.006934,90.000291,96.319855,4.75,3.25,0.329234,748.3,919.3,0,80,8,32,0,0,0,0,8,0,0,0.900847
hMOF-5039521,8.559649,13.10105,8.597278,94.263826,102.374898,87.117163,7.25,5.75,0.566299,2644.6,2161.5,5,13,3,8,0,0,0,0,2,0,0,0.382089
hMOF-5054686,10.723024,23.532407,9.798715,89.992208,89.996609,83.658273,7.75,6.25,0.717594,2714.3,2130.5,42,47,4,23,0,0,0,0,2,0,0,1.92227
hMOF-36030,13.33907,10.654562,9.130313,90.000695,90.000326,79.940321,6.75,5.75,0.665592,1559.5,1717.9,20,36,2,15,0,0,0,2,0,0,0,4.47086
hMOF-5003482,18.215407,16.625546,18.215399,89.970824,89.980167,90.022916,6.25,3.25,0.501807,1215.2,1462.8,16,128,0,52,0,16,0,0,16,0,0,3.14549
hMOF-7963,8.497374,8.497374,17.077404,90.003463,89.998682,90.005237,3.75,2.75,0.245375,8.2,17.5,10,36,0,26,0,6,0,0,8,0,0,2.46638
hMOF-5034797,11.792241,10.723024,9.798715,90.001978,90.000512,95.669357,9.25,8.75,0.735047,3584.9,2370.7,12,16,2,8,0,0,0,0,2,0,0,0.471211
hMOF-5046533,9.065218,15.944551,8.140239,89.99553,89.997198,84.257312,2.25,1.75,0.00491918,0.0,0.0,15,54,6,24,3,0,0,0,6,0,0,0.0
hMOF-5077944,19.188925,17.666332,10.540539,89.995712,96.16598,90.010303,11.75,10.75,0.64716,2402.1,1630.7,80,64,10,21,0,0,0,2,0,0,0,1.15808
hMOF-5055016,10.654562,23.532357,9.730223,89.993164,89.996961,83.659197,8.25,7.25,0.757749,2233.2,1798.3,52,62,4,12,0,0,0,0,2,0,0,5.01848
hMOF-5017674,13.032831,18.050589,13.032268,97.149417,90.886977,82.833186,11.25,10.25,0.779862,4137.9,2439.2,6,26,0,13,0,8,0,0,4,0,0,0.999125
hMOF-5076401,17.699083,19.188924,16.176319,89.991125,89.998611,83.21249,16.75,15.75,0.86993,5335.0,1721.4,48,56,6,8,0,0,0,2,0,0,0,0.687338
hMOF-5011962,19.077105,18.101395,19.076919,87.727683,89.923776,87.727498,7.75,6.25,0.724544,4417.2,2862.3,86,84,38,26,0,0,0,0,8,0,0,1.48187
hMOF-5031203,19.077105,29.839131,19.076919,92.267459,90.076224,87.737628,15.25,13.25,0.878506,4903.9,1606.8,104,102,6,29,0,0,0,0,4,0,0,0.926712
hMOF-5049288,16.109301,17.038272,15.186229,89.995962,89.999362,87.286518,5.75,4.25,0.670188,2748.6,2291.7,36,72,48,16,0,0,0,0,4,0,0,2.89682
hMOF-1001065,6.8179,9.514072,9.514088,83.785444,118.843545,118.843421,5.75,5.25,0.452741,1111.6,1430.0,4,8,0,10,0,0,2,0,0,0,0,2.25351
hMOF-5019910,21.395364,19.121063,21.395355,87.57926,90.024552,92.48393,6.75,4.25,0.492351,1311.2,1387.9,88,224,0,52,48,0,0,0,16,0,0,3.6142
hMOF-642,21.395364,21.395361,21.395355,89.978489,89.975448,90.045659,11.25,6.75,0.81091,5521.8,2596.0,72,120,0,46,0,0,0,0,8,0,0,0.77253
hMOF-1003097,6.8179,7.190334,15.86687,74.030337,102.655915,60.611776,2.75,1.75,0.00908969,0.0,0.0,28,31,0,10,0,0,2,0,0,0,0,0.0
hMOF-5080036,11.792241,23.532407,10.268362,89.990068,89.999626,83.521047,4.75,3.75,0.395377,675.4,768.2,12,84,20,24,0,0,0,4,0,0,0,1.44766
hMOF-5047188,10.723024,15.944551,9.798715,89.9959,89.996609,83.983304,8.25,6.25,0.661936,3414.9,2433.9,8,28,8,8,0,0,0,0,2,0,0,0.658283
hMOF-12971,18.215407,15.297327,18.215399,80.351692,90.019833,99.707397,7.75,5.75,0.693481,2301.8,2354.2,18,80,0,26,0,0,0,0,8,14,0,1.44272
hMOF-5051564,16.109301,19.18893,15.186229,89.991369,89.998834,83.303183,6.25,3.25,0.617169,2500.6,1958.7,88,100,12,30,0,0,0,0,4,0,0,3.10347
hMOF-26337,14.853569,14.853568,13.930277,90.002819,90.003399,96.364624,4.75,3.75,0.617567,1264.1,1574.2,22,100,4,16,26,0,0,0,4,0,0,6.05554
hMOF-5021496,16.959455,19.121063,19.121278,90.135726,87.574851,92.465894,8.75,5.25,0.728768,3142.5,2315.6,34,122,22,26,0,0,0,0,8,0,0,2.10597
hMOF-5034666,8.597339,11.792241,7.681481,84.218353,76.526797,95.232808,3.25,1.75,0.0820083,0.0,0.0,8,20,4,16,0,0,0,0,4,0,0,0.110278
hMOF-5050058,17.019282,17.038272,14.750779,76.426773,106.379547,87.241387,7.25,5.25,0.569971,1456.7,1723.1,30,96,4,16,0,30,0,0,4,0,0,3.44004
hMOF-6557,12.827893,12.827892,12.827885,90.032871,89.983682,89.974292,2.75,2.25,0.00920679,0.0,0.0,24,72,0,52,0,0,0,0,16,24,0,0.0
hMOF-5050786,15.944551,17.038272,15.021413,90.004029,89.997174,87.305147,11.25,8.25,0.791085,4331.1,2209.4,88,73,2,8,0,0,0,0,2,0,0,1.96189
hMOF-5052826,19.188925,19.18893,13.596369,89.988893,89.993722,83.143665,6.25,5.25,0.515868,1746.2,1482.7,48,108,30,24,0,0,0,0,6,0,0,1.30227
hMOF-32406,17.699077,11.026607,16.176319,90.000905,90.005422,95.933297,4.75,3.25,0.401679,906.7,922.2,20,88,24,16,0,0,0,4,0,0,0,1.64817
hMOF-37054,14.853567,14.853567,13.330367,89.999156,89.995418,83.63493,10.25,9.25,0.812515,2665.3,2000.4,12,50,2,8,0,12,0,2,0,0,0,1.70471
hMOF-5005694,13.897449,16.625545,13.897441,90.031157,90.020733,90.026837,16.75,15.75,0.870011,4580.1,1681.0,0,20,0,13,0,0,0,0,4,0,0,0.363697
hMOF-5013509,18.101398,18.101395,18.10139,89.968664,89.985301,90.029256,3.25,1.25,0.0626787,1.3,2.1,84,168,0,52,0,60,0,0,16,0,0,0.0192386
hMOF-7000186,18.426585,14.560438,14.560438,59.997876,90.001817,59.999703,6.75,3.75,0.424657,1057.2,1357.6,14,60,0,32,18,0,0,0,0,0,6,3.16023
hMOF-5002594,13.897449,17.64028,13.897431,101.279385,89.950255,101.198218,6.75,5.25,0.641712,1980.3,2036.1,8,76,12,26,0,0,0,0,8,0,0,2.77054
hMOF-5064316,17.699083,16.176319,17.699083,90.007696,96.716985,89.998611,6.25,4.75,0.680094,2705.4,2043.0,136,132,4,16,0,0,0,4,0,0,0,6.09547
hMOF-5046688,16.109301,15.944551,15.186229,89.995303,89.999362,83.480109,13.25,11.75,0.845313,5763.8,2167.3,38,46,2,8,0,0,0,0,2,0,0,0.710502
hMOF-5072634,13.33907,15.944551,11.804365,101.830656,74.87513,99.564016,4.25,2.25,0.274143,182.0,244.7,44,84,4,34,0,0,0,4,0,0,0,1.3498
hMOF-5044337,15.99535,15.99535,15.07222,90.001101,89.991149,83.492375,5.25,3.25,0.421548,1024.4,958.5,48,100,28,16,0,0,0,0,4,0,0,2.10269
hMOF-5045270,10.489741,12.837943,11.892095,94.310562,93.929268,90.315943,9.25,8.25,0.712022,3026.2,2098.3,18,30,2,8,0,0,0,0,2,0,0,1.0318
hMOF-5041943,10.65455,10.540539,9.730223,90.000775,89.996251,84.505197,5.75,4.25,0.500797,750.2,961.5,48,42,2,8,0,0,0,0,2,0,0,4.56639
hMOF-24655,17.699077,10.654545,16.776229,89.995723,89.993415,83.883002,9.25,8.25,0.708401,2634.1,1869.4,96,80,2,8,0,0,0,0,2,0,0,3.57332
hMOF-5006876,19.805407,16.120484,19.805399,92.871043,89.980427,92.925608,17.75,16.75,0.880414,5410.7,1550.1,26,40,8,13,0,0,0,0,4,0,0,0.631808
hMOF-5035480,11.792241,13.33907,12.376593,80.988514,77.409642,99.911355,7.75,7.25,0.691273,2169.8,1811.6,46,49,2,8,0,0,0,0,2,0,0,5.92935
hMOF-11888,19.805407,12.759394,19.805407,90.008007,90.009221,90.013856,8.25,3.25,0.573364,1127.7,1509.3,24,96,0,26,0,0,0,0,8,24,0,1.93507
hMOF-5025707,12.645331,21.295417,12.645323,89.967055,89.984262,90.028938,5.25,3.75,0.39101,964.0,1111.4,64,72,8,50,0,0,0,0,8,0,0,2.44746
hMOF-5008104,12.759395,16.120256,12.759394,87.12359,89.983626,92.880601,9.25,7.75,0.741346,3326.1,2346.3,18,40,0,22,0,0,0,0,4,0,0,1.99503
hMOF-5066216,14.04422,14.04419,12.503572,93.839403,86.16475,93.190328,12.75,11.75,0.834182,5939.0,2241.8,6,20,4,8,0,0,0,2,0,0,0,0.233247
hMOF-5002799,17.077404,16.625545,17.077396,89.972074,89.978556,90.023805,7.75,4.75,0.791941,4858.9,3055.3,32,72,0,26,0,0,0,0,8,0,0,1.43242
hMOF-1003425,14.560438,14.560438,14.560438,90.001034,60.000713,60.000094,4.75,3.75,0.346023,581.3,1013.2,16,48,0,32,0,0,0,0,0,8,6,2.30669
hMOF-5043866,11.792241,15.99535,10.868271,89.997096,89.999893,83.842895,10.25,8.75,0.766212,3544.1,2537.1,8,22,2,8,0,0,0,0,2,4,0,0.331757
hMOF-6777,17.077404,13.032721,13.032268,103.289627,97.162375,97.204757,6.75,4.75,0.537189,1608.0,1676.6,52,62,0,26,0,0,0,0,8,0,0,3.20294
hMOF-7002968,20.016444,31.640172,20.016444,59.995958,89.999461,60.008954,12.75,7.75,0.788128,4217.6,2249.9,37,121,19,36,0,0,0,0,0,0,6,0.710222
hMOF-5060381,12.784905,11.792241,11.295483,94.123059,86.327249,78.650367,8.25,7.25,0.725863,2838.6,2311.7,6,26,2,8,0,6,0,2,0,0,0,1.17413
hMOF-5076452,17.699083,19.18893,16.176319,89.988074,89.998611,83.213899,6.25,3.25,0.444917,972.8,991.1,72,132,18,66,0,0,0,6,0,0,0,1.22889
hMOF-19582,16.992695,17.699104,16.776229,90.006643,90.003575,86.97987,17.25,16.25,0.858961,4779.9,1631.0,24,42,4,20,0,0,0,0,2,0,0,0.35832
hMOF-5022579,19.121102,19.121063,19.120904,85.258387,89.911827,90.126902,7.25,4.25,0.721541,3935.1,2628.6,34,122,26,26,0,0,0,0,8,0,0,1.14496
hMOF-5054015,19.288867,18.366186,19.288859,89.994011,96.864603,90.007559,8.75,4.75,0.686508,1886.8,2304.1,34,112,4,16,0,0,0,0,4,38,0,1.20639
hMOF-5097,18.215407,10.685194,18.215399,94.396576,90.019833,94.377432,4.25,2.75,0.193802,118.2,205.7,16,112,0,52,24,0,0,0,16,0,0,1.72344
hMOF-5028189,14.908795,25.639239,14.908308,86.738311,90.211334,93.329434,12.25,10.25,0.848858,4082.4,1980.1,88,84,2,17,0,0,0,0,4,0,0,1.61593
hMOF-5071914,15.944545,15.944551,15.455313,92.664316,87.321378,83.497455,9.75,8.25,0.729962,4227.2,2254.0,86,71,4,8,0,0,0,2,0,0,0,2.23215
hMOF-6000437,6.8179,11.168138,12.200737,92.529358,107.141108,108.508793,8.25,7.25,0.627629,2083.1,2053.9,4,12,6,10,0,0,2,0,0,0,0,0.743623
hMOF-5010549,12.64533,16.959455,16.959447,90.014322,89.97393,89.985361,5.75,2.75,0.414365,418.5,763.2,32,92,0,26,0,0,0,0,8,24,0,2.63323
hMOF-17865,19.288864,16.109301,18.366186,89.992337,89.977106,83.298863,16.75,15.75,0.877124,5715.0,1727.5,48,58,2,8,0,0,0,0,2,0,0,0.654224
hMOF-7002940,23.196402,31.640172,23.196401,90.009695,59.997774,60.002544,13.25,7.25,0.751071,3374.2,1969.5,232,201,2,63,0,0,0,0,0,0,6,1.804
hMOF-5063910,10.654553,14.04419,9.130313,89.993628,89.999282,88.838977,6.75,5.75,0.583236,1975.4,2011.1,14,24,20,8,0,0,0,2,0,0,0,1.31156
hMOF-5042286,14.519709,14.519709,13.596369,90.006934,89.999709,83.680145,4.25,3.75,0.326214,668.3,821.0,0,80,8,32,0,0,0,0,8,0,0,0.894443
hMOF-5060570,11.792241,10.654541,9.130307,89.996917,90.002681,84.338672,6.75,5.25,0.62777,1306.3,1451.2,24,38,2,8,0,0,0,2,0,0,0,4.32198
hMOF-5028980,25.639239,16.625548,16.625539,89.979432,90.031255,89.960246,9.75,8.75,0.824381,4571.6,2521.8,34,88,14,34,0,0,0,0,8,0,0,0.912718
hMOF-36517,14.853567,17.699083,16.176319,90.004302,89.999649,83.458972,5.25,4.75,0.652086,1086.8,1812.9,16,92,4,16,0,0,0,4,0,32,0,3.50788
hMOF-8797,12.759401,14.90852,12.759393,86.73758,90.019837,93.322137,10.25,8.75,0.764337,3465.7,2217.5,30,36,0,13,0,0,0,0,4,0,0,1.04599
hMOF-5081941,27.732048,27.732048,26.210047,90.018945,89.988763,97.357345,8.75,5.25,0.78963,2630.7,2408.2,96,440,32,80,0,96,0,8,0,0,0,5.71913
hMOF-5060383,11.792241,11.792254,11.295483,94.123239,85.870734,84.196007,4.75,3.25,0.446121,827.4,997.2,10,40,4,16,0,2,0,4,0,0,0,1.89587
hMOF-1002834,6.8179,9.58286,15.185463,92.759972,104.264314,111.206767,6.25,5.75,0.771952,1367.7,1975.9,5,22,0,10,0,0,2,0,0,3,0,4.55001
hMOF-5041313,10.540539,19.288865,18.366186,90.011479,89.994545,96.16913,6.75,3.25,0.49343,1213.9,1263.5,72,92,4,52,0,0,0,0,4,0,0,2.73227
hMOF-10753,19.805407,12.7594,19.805399,90.022119,90.019573,90.013166,15.75,15.25,0.834493,4397.5,1751.2,34,44,12,13,0,0,0,0,4,0,0,0.994686
hMOF-5079167,16.9748,23.532357,15.455313,92.642146,90.973911,83.110074,15.75,13.75,0.896057,5040.5,1731.1,54,65,8,12,0,0,0,2,0,0,0,1.30804
hMOF-5196,18.215407,10.686203,18.215399,94.39003,89.983176,94.365226,7.75,5.75,0.658018,2633.9,2322.7,36,64,0,34,0,0,0,0,8,0,0,3.02739
hMOF-13787,15.297475,15.299816,15.29672,110.757046,91.617114,72.651123,9.75,6.25,0.741691,3187.8,2236.9,13,59,11,13,0,0,0,0,4,0,0,1.58707
hMOF-165,12.759401,17.077402,12.759393,89.965312,89.979062,90.024408,10.25,9.75,0.802587,3905.8,2202.5,30,37,0,13,0,0,0,0,4,0,0,1.29125
hMOF-5000023,12.759401,13.897447,13.897449,90.007994,90.001962,90.019956,5.25,4.25,0.636771,2717.7,2614.1,8,40,0,26,0,0,0,0,8,0,0,3.37439
hMOF-5063516,10.65455,12.503572,10.65455,86.442489,84.484931,93.549232,10.25,9.25,0.729931,3076.6,2198.3,6,20,2,8,4,0,0,2,0,0,0,0.944084
hMOF-7002413,27.44028,23.196402,23.196401,60.008822,90.017084,59.998982,18.75,16.75,0.812826,3897.4,1862.3,97,110,33,36,0,0,0,0,0,0,6,1.11479
hMOF-5052932,19.18893,14.519709,13.596369,89.999684,90.005514,96.587536,6.75,4.75,0.736082,4940.6,3061.4,18,56,14,16,0,0,0,0,4,0,0,0.815647
hMOF-5066901,10.540539,10.540539,9.016244,89.994699,90.000067,95.474508,5.75,4.75,0.306366,257.9,537.6,18,26,2,8,0,18,0,2,0,0,0,1.59075
hMOF-7000857,14.446369,14.446369,14.446369,90.000001,60.002158,119.99975,3.25,2.25,0.0981197,6.2,11.7,110,60,38,32,0,0,0,0,0,0,6,0.339529
hMOF-5007393,16.12049,16.120484,12.827885,87.136072,92.917123,90.1641,6.75,5.25,0.701034,3767.0,2896.6,24,48,0,26,0,0,0,0,8,0,0,1.60182
hMOF-5031222,12.759401,29.839131,12.759393,89.963184,89.979062,90.042945,10.75,9.25,0.79459,3308.0,2085.7,23,78,2,17,17,0,0,0,4,0,0,2.78933
hMOF-5008933,16.625548,16.120484,16.625539,92.868615,89.979432,92.926626,18.25,17.25,0.897282,5335.0,1514.5,2,24,0,13,0,0,0,0,4,0,0,0.48517
hMOF-5044248,10.540539,15.99535,9.616153,89.999971,89.995174,84.008933,6.25,5.25,0.419225,1160.0,1264.4,21,45,17,8,0,0,0,0,2,0,0,0.847857
hMOF-36582,16.956984,14.853559,15.455313,92.670929,87.518126,79.842436,6.25,5.25,0.653118,2756.0,2077.9,48,84,12,16,0,0,0,4,0,0,0,3.78871
hMOF-5031885,15.297475,29.839131,15.29672,80.368922,88.382886,80.335685,8.25,6.75,0.724791,2211.9,1795.7,128,172,4,34,0,0,0,0,8,0,0,4.8082
hMOF-5047683,15.944551,10.654541,9.730217,89.998097,89.996148,83.991333,6.25,4.75,0.556484,1538.6,1587.4,22,42,2,21,0,0,0,0,2,0,0,2.59345
hMOF-5059719,11.792241,16.992695,15.455313,87.152573,87.304628,92.569181,5.75,4.25,0.569573,1871.1,1742.8,20,72,24,16,0,0,0,4,0,0,0,2.4132
hMOF-3001296,33.510554,33.509711,33.50647,60.004186,60.008358,59.99476,13.25,10.75,0.856585,5986.7,1821.5,96,148,16,110,0,0,0,16,0,0,0,0.235794
hMOF-5062991,14.519709,13.33907,12.99646,90.002942,89.999398,99.65472,12.25,10.75,0.834575,3618.2,2092.2,5,28,2,8,0,0,0,2,0,3,0,0.329668
hMOF-5002825,17.077404,16.625545,17.077396,90.026422,90.017244,90.027175,3.25,2.25,0.332702,28.3,50.3,20,144,0,52,0,44,0,0,16,0,0,2.8594
hMOF-7003013,31.640172,20.875641,31.640172,57.596942,90.008445,62.438275,14.25,12.25,0.789008,3054.8,1660.0,170,282,6,40,0,0,0,0,0,0,6,2.10428
hMOF-5004774,16.625548,16.625546,16.625539,89.969603,90.020568,89.976464,7.75,5.25,0.618052,2837.8,2331.1,0,72,0,39,0,0,0,0,12,0,0,0.948508
hMOF-5037705,14.519709,12.837942,11.892314,93.95632,85.645655,90.745457,8.75,7.25,0.680167,3345.0,2154.8,32,38,2,13,0,0,0,0,2,0,0,1.2982
hMOF-5009249,12.759401,12.64533,12.759393,90.028974,90.019596,90.017969,3.25,2.25,0.15975,11.7,17.7,58,52,18,26,0,0,0,0,8,0,0,1.66085
hMOF-5051542,19.18893,19.188924,15.186229,89.994194,89.982767,83.143372,4.75,3.25,0.436675,839.0,921.7,21,159,69,24,0,0,0,0,6,0,0,2.78873
hMOF-5027574,19.077105,25.639239,25.639234,89.978894,87.692243,87.734929,22.25,20.75,0.918688,5108.9,1215.9,32,70,6,36,0,0,0,0,4,0,0,0.781345
hMOF-7584,13.032831,13.032721,10.686551,93.335252,77.928676,90.902885,4.75,3.25,0.316947,278.7,556.9,10,32,0,26,0,0,0,0,8,10,0,2.07725
hMOF-3000796,27.435584,27.434948,27.431174,60.005483,60.011353,59.993028,22.75,19.25,0.903242,4126.8,1316.7,19,50,8,32,0,0,0,0,8,13,0,0.208259
hMOF-5081623,17.699083,27.731996,16.176319,89.98722,89.998611,82.952202,15.75,14.25,0.852803,4249.6,1698.8,104,102,4,24,0,0,0,2,0,0,0,1.43589
hMOF-5080655,15.944545,22.010155,15.944551,90.003301,96.502545,90.005679,7.75,2.75,0.575702,1507.4,1916.5,20,104,8,24,0,0,0,4,0,28,0,1.14342
hMOF-5032670,18.101395,29.839134,18.101389,89.97127,89.983159,90.025965,12.75,11.25,0.745683,3504.0,1826.2,128,198,2,17,0,0,0,0,4,0,0,1.9276
hMOF-16795,14.971486,10.65455,9.730223,90.001917,89.993519,95.95047,8.25,7.75,0.712434,2198.2,2024.6,9,26,2,8,0,7,0,0,2,0,0,1.39211
hMOF-7002907,31.640172,18.878441,31.640172,119.999984,89.990838,59.997147,15.75,13.25,0.855994,3414.7,1771.1,33,132,4,40,0,37,0,0,0,0,6,0.951177
hMOF-5044264,15.9953,15.07222,15.99535,89.992853,96.517909,90.005543,14.25,12.75,0.803695,5375.5,2444.7,21,38,2,8,15,0,0,0,2,0,0,0.817547
hMOF-5059185,10.268362,9.065218,9.065218,85.015885,89.996569,89.995357,2.75,1.75,0.0358249,0.0,0.0,0,20,4,16,0,0,0,4,0,0,0,0.0
hMOF-14166,12.759401,16.959454,12.759393,89.969286,89.981504,90.020236,9.25,8.25,0.711577,2782.4,2085.6,40,48,0,23,0,0,0,0,4,0,0,1.35708
hMOF-5013815,21.395364,12.594516,21.395355,89.986917,89.975448,90.026767,8.75,5.25,0.694715,3129.6,2470.2,30,100,0,26,30,0,0,0,8,0,0,5.04784
hMOF-5045836,14.519709,10.489741,13.596369,89.994306,90.000291,84.109659,11.25,10.25,0.758274,4374.4,2260.5,6,22,8,8,0,0,0,0,2,0,0,0.269485
hMOF-24853,12.837943,10.654541,11.892095,93.927124,85.689438,89.656434,7.75,6.75,0.819267,1027.4,1944.0,6,36,2,8,0,0,0,0,2,14,0,4.2273
hMOF-5012775,18.101398,18.101397,16.959447,90.033674,90.020773,90.015732,15.25,14.25,0.869388,5300.2,2047.4,66,63,0,13,0,0,0,0,4,0,0,1.34852
hMOF-3001773,26.374263,26.373608,26.370205,60.005297,60.010839,59.9937,6.75,5.25,0.706913,3931.9,2539.5,280,208,16,64,0,0,0,16,0,0,0,1.68709
hMOF-5076514,16.992694,19.18893,15.455313,92.650876,87.142206,86.906503,16.25,14.75,0.864356,4419.9,1718.3,16,40,10,8,0,8,0,2,0,0,0,0.596685
hMOF-5033641,11.792241,10.65455,9.730223,90.004253,89.999084,84.339173,7.25,6.25,0.691961,2918.5,2315.1,18,23,2,8,0,0,0,0,2,0,0,1.51533
hMOF-5002617,13.897448,13.897449,13.897449,90.008641,90.01027,90.018519,4.25,3.25,0.293143,382.9,649.8,0,72,0,52,0,0,0,0,16,0,0,1.72774
hMOF-18514,19.288864,17.699083,18.366186,89.992864,89.977106,83.20963,5.25,4.25,0.466187,882.9,949.2,48,204,54,24,0,0,0,0,6,0,0,3.4572
hMOF-5037162,14.519709,11.026607,10.065875,79.268236,98.75793,96.133081,10.25,9.25,0.726883,4015.3,2389.3,4,16,2,8,4,0,0,0,2,0,0,0.419531
hMOF-1003969,16.704494,21.606444,21.606444,120.00138,89.998038,56.63419,8.75,7.25,0.686483,2520.0,2110.0,25,86,0,32,27,0,0,0,0,0,6,2.14645
hMOF-19619,16.992694,16.992695,16.053802,87.258926,92.750953,90.668223,16.75,15.75,0.85105,4495.2,1664.5,14,38,8,8,10,0,0,0,2,0,0,0.48811
hMOF-5018993,16.12053,18.050589,16.120297,92.875657,90.12814,87.123928,5.75,2.75,0.352472,630.1,986.8,6,90,0,39,0,0,0,0,12,24,0,0.970877
hMOF-5074727,10.65455,17.038272,9.130313,89.998262,89.99622,87.798229,7.25,5.75,0.742159,2120.6,2015.1,36,36,16,8,0,0,0,2,0,0,0,4.2553
hMOF-5032754,29.839134,12.594516,29.839126,90.015384,89.970362,89.989085,17.75,16.25,0.807802,4538.3,1926.2,98,176,4,21,0,0,0,0,4,0,0,1.75661
hMOF-5048696,15.944545,15.944564,15.021413,89.997162,89.995468,96.499946,0.75,0.25,0.0116508,0.0,0.0,48,152,8,32,0,24,0,0,8,0,0,0.0
hMOF-2000995,42.784839,42.784841,42.784893,90.002418,59.99778,119.999863,24.75,18.25,0.921895,5681.5,1092.6,226,317,0,101,0,0,0,12,0,0,0,0.721018
hMOF-7000894,19.902436,23.196402,23.196401,59.999265,90.006949,59.997492,12.75,12.25,0.714749,1895.3,1996.6,34,96,0,32,0,0,0,0,0,32,6,0.740644
hMOF-5078874,9.065215,22.010155,9.065215,89.994713,85.014697,90.008042,7.25,6.25,0.701854,3074.1,2502.9,12,32,12,12,0,0,0,2,0,0,0,1.99684
hMOF-5028435,15.297475,25.639239,15.29672,80.361144,88.382886,80.340538,7.75,6.75,0.729437,3108.4,2319.9,56,120,4,34,0,0,0,0,8,0,0,2.68206
hMOF-5072810,11.792241,15.944551,10.268362,89.993764,89.999626,83.846077,10.25,9.25,0.814426,5094.3,2597.2,4,22,2,8,2,0,0,2,0,0,0,0.432465
hMOF-5058310,27.731996,16.098538,17.038272,87.069734,86.866472,92.693548,6.75,4.75,0.573114,1076.8,1318.5,51,198,12,36,0,57,0,0,6,0,0,4.36849
hMOF-5007633,13.032831,16.120484,13.032268,99.642751,90.886977,86.078521,6.25,3.25,0.297039,412.8,618.4,48,69,0,48,0,0,0,0,12,0,0,1.482
hMOF-5045562,11.792241,10.868271,11.792241,89.998441,84.193416,90.00049,4.25,2.25,0.183847,139.6,210.4,0,42,6,24,0,0,0,0,6,0,0,0.279362
hMOF-7002679,27.44028,27.44028,15.698487,59.998346,90.005015,60.004534,12.75,12.25,0.763536,2899.7,1884.9,25,133,33,40,0,0,0,0,0,0,6,1.15283
hMOF-5042249,10.540539,14.519709,9.616153,89.996797,89.995174,84.102818,2.25,1.75,0.00203971,0.0,0.0,22,48,4,16,0,0,0,0,4,26,0,0.0
hMOF-1000334,6.8179,11.102289,16.418042,93.889356,103.389568,108.605707,8.25,7.25,0.685464,2195.3,1868.2,14,24,0,11,0,0,2,0,0,0,0,1.28675
hMOF-35055,16.109302,10.654545,14.586319,89.998553,89.994552,83.973604,5.25,3.75,0.624608,925.4,1487.3,20,72,4,16,0,0,0,4,0,12,0,4.09425
hMOF-5021594,19.121063,13.897449,19.121595,87.542018,90.075983,92.469882,16.75,15.75,0.892221,5325.5,1649.6,20,38,0,13,0,0,0,0,4,0,0,0.686915
hMOF-5078039,15.99535,19.18893,14.47231,89.993787,89.990621,83.318578,4.75,3.75,0.395271,932.0,878.2,32,112,44,16,0,0,0,4,0,0,0,0.950022
hMOF-5052034,19.18893,10.967874,10.065918,111.757653,99.848379,83.943308,4.25,3.25,0.281019,255.2,418.9,14,48,12,16,0,18,0,0,4,0,0,1.91689
